"path","category","purpose","review_status","runtime_status","issues_found","issues_fixed","tests_covering_file","risk_remaining","notes"
".github/scripts/generate-test-vapid.mjs","configuration","Configuration manifeste ou metadonnee","analysé statiquement","analyse et build si applicable","","","","faible a confirmer sur staging","Inventaire final 2026-08-01"
".github/scripts/run-with-diagnostics.sh","configuration","Configuration manifeste ou metadonnee","analysé statiquement","analyse et build si applicable","","","","faible a confirmer sur staging","Inventaire final 2026-08-01"
".github/workflows/ci.yml","configuration","Configuration manifeste ou metadonnee","corrigé","analyse et build si applicable","Voir registre JSON","Oui si relie au registre","Suite locale build ou controle statique","faible a confirmer sur staging","Inventaire final 2026-08-01"
".gitignore","configuration","Configuration manifeste ou metadonnee","analysé statiquement","analyse et build si applicable","","","","faible a confirmer sur staging","Inventaire final 2026-08-01"
"athleteos/.env.example","configuration","Configuration manifeste ou metadonnee","analysé statiquement","analyse et build si applicable","","","","faible a confirmer sur staging","Inventaire final 2026-08-01"
"athleteos/.gitignore","configuration","Configuration manifeste ou metadonnee","analysé statiquement","analyse et build si applicable","","","","faible a confirmer sur staging","Inventaire final 2026-08-01"
"athleteos/dist/sw.js","fichier genere","Artefact de build versionne","généré","build production réussi","Voir registre JSON","","","Synchronisation source requise","Hash controle pour dist/sw.js"
"athleteos/docs/audit/screenshots/auth-dark-1024.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-1280.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-1440.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-320.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-360.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-375.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-390.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-768.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-dark-zoom-200.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-1024.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-1280.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-1440.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-320.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-360.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-375.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-390.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
"athleteos/docs/audit/screenshots/auth-light-768.png","preuve visuelle","Capture responsive et theme","asset vérifié","généré par Playwright","Voir registre JSON","","","Ecrans publics uniquement","Inspection visuelle representative"
